Unnamed: 0,length,wingLength,appliedElectricField,activeMaterialThickness,multiLayers,staticStrokeAmplitude,operatingFrequency,width,transmissionRatio,naturalFrequency,strokeAmplitude,netThrust,loadedDisplacement,liftableMass,totalMechanicalMass,appliedVoltage,intBulk,intCapacitance,intResistance,intInductance,averageCurrent,xt018-m0-mass,xt018-m0-area,xt018-m0-current,xt018-mem-mass,xt018-mem-area,xt018-mem-current,IMU-sensor-mass,IMU-sensor-area,IMU-sensor-current,total-additional-mass,total-additional-current,cp-frequency,cp-capacitance,N,M,cp-area,cp-mass,vin,load,battery-mass,battery-alpha,runtime,ccount
0.0,0.01,0.011,400000.0,0.000127,1.0,20.0,275.0,0.0012200422205094,2568.7716985189545,242.0128264794384,117.85850762173756,0.0,0.0008007792248225,0.2315505484002433,0.0758085434135772,50.8,5.063278882037932e-09,8.14442997927706e-10,1247.09466769431,5.794929312532614,7.875130745378004e-05,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,7.766092938459796e-10,22.0,2.0,,0.022796067128191003,3.5858700050573815,0.01444683480286313,0.0968959378584751,0.1272572922686787,199.02010356507856,1.0
1.0,0.01,0.011,400000.0,0.000127,1.0,20.0,300.0,0.0015371008595116,2568.7716985189545,265.6087782946687,136.38045570002305,0.0,0.0009266249658185,0.4016504654835288,0.0955092990066175,50.8,6.3315134380467054e-09,1.0503786964961591e-09,1056.859484292994,4.684355335354071,0.0001061712075659,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,4.373226994019572e-10,24.0,3.0,,0.04798752710680771,3.6107022725477487,0.011303509804082523,0.22210363937010352,0.10240422132872559,469.182305432383,1.0
2.0,0.01,0.011,400000.0,0.000127,1.0,20.0,325.0,0.0019175477797342,2568.7716985189545,291.5053062825179,146.10595875690402,0.0,0.0009927040377162,0.7425916964015287,0.1191487488415687,50.8,7.853301118937092e-09,1.333484087263682e-09,828.5913321594363,3.3517486900135736,0.0001427083305008,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,1000000.0,3.5133308875450842e-09,24.0,4.0,,0.3855186603206538,3.6125424756233584,0.011070572705904051,0.20187428723930606,0.10050602353363551,427.35069468115995,1.0
3.0,0.01,0.011,400000.0,0.000127,1.0,20.0,350.0,0.0023853462932173,2568.7716985189545,319.92671377973846,129.18965865679155,0.0,0.0008777677301523,0.6170789302554058,0.1482158772753516,50.8,9.596046408463522e-09,1.5042218298173816e-09,727.7404942376901,2.916191140129335,0.0001872075822283,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,8.359002251858839e-10,24.0,3.0,,0.09172353680599903,3.5368320092481276,0.02065417604454084,0.34108951617405514,0.17250345780869414,664.2624565683461,1.0
4.0,0.01,0.011,400000.0,0.000127,1.0,25.0,250.0,0.001497285830418,3210.964623148693,220.5130739903045,109.52517230061936,0.0,0.0005953272909576,0.1845461094170555,0.0930353523588538,50.8,6.172253321672062e-09,1.020750780561431e-09,1080.7485017491908,4.823817030361601,8.706134181835353e-05,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,8.736389826190262e-10,22.0,2.0,,0.02564421138325644,3.572487415809471,0.01614083344183909,0.02981654567494526,0.14008876926205302,60.34149938350829,1.0
5.0,0.01,0.011,400000.0,0.000127,1.0,25.0,275.0,0.0019190824361016,3210.964623148693,242.0128264794384,122.48816180897774,0.0,0.0006657880011726,0.3372002559162247,0.1192441062496101,50.8,7.859439744406472e-09,1.3346260849182212e-09,827.6705383390291,3.3463731877694185,0.0001195738742423,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,4.987124107488643e-10,24.0,3.0,,0.05472383519547405,3.5988843817198344,0.012799445351919726,0.12718231447114056,0.11440617664492386,265.07358480965013,1.0
6.0,0.01,0.011,400000.0,0.000127,1.0,25.0,300.0,0.0024168938834133,3210.964623148693,265.6087782946687,138.04891546313004,0.0,0.0007503689347023,0.4802704629737137,0.1501761183397717,50.8,9.711720905848938e-09,1.5131767184531563e-09,723.5341488782204,2.9041770816722514,0.0001580736089586,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,6.845855250251113e-10,24.0,3.0,,0.07511973763080565,3.5640967674224875,0.017202940832596547,0.21892460700313626,0.1479431933185675,439.00379797746047,1.0
7.0,0.01,0.011,400000.0,0.000127,1.0,25.0,325.0,0.003014122798545,3210.964623148693,291.5053062825179,147.890253549361,0.0,0.0008038618169248,0.7536209503772945,0.1872855342103974,50.8,1.1901560261331982e-08,1.682702136776351e-09,643.9036268606552,2.676738375448732,0.0002079049787659,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,9.498565976740922e-10,24.0,3.0,,0.10422799751944833,3.516892979465647,0.02317810386510799,0.4260574186474486,0.1895868203119434,812.6055340257136,1.0
8.0,0.01,0.011,400000.0,0.000127,1.0,25.0,350.0,0.0037483602850651,3210.964623148693,319.92671377973846,138.9806817498487,0.0,0.0007554335777211,0.7516742630959006,0.2329081146728066,50.8,1.4593764378572129e-08,1.891117894783353e-09,546.0052953246499,2.3971236083738816,0.0002748483463762,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,7.526945685668026e-10,24.0,4.0,,0.08259335968986001,3.524963537935339,0.0221565141854002,0.4001227887332339,0.18275781403606273,769.5719191397728,1.0
10.0,0.01,0.011,400000.0,0.000127,1.0,30.0,275.0,0.0027858887022906,3853.1575477784313,242.0128264794384,125.67683931389512,0.0,0.000569266792839,0.3219295456482715,0.1731039804055337,50.8,1.1064701908399162e-08,1.617917127774217e-09,674.334839694576,2.763655244764656,0.0001624945770084,0.00148,6.65847e-07,0.0154111111111111,0.01157,6.76e-06,0.0805555555555555,0.023,9e-06,0.0031111111111111,0.03605,0.0990777777777777,10000000.0,7.069147816597246e-10,24.0,3.0,,0.07756993244002482,3.560015189220669,0.017719596301181174,0.03520563280271298,0.1517122832676199,70.2846492600574,1.0
